 ,Label,Mean,X,Y,Position
1,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0001-0078,0,494.500,78.500,Dorsal
2,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0002-0085,0,512.500,85.500,Dorsal
3,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0003-0088,0,458.500,88.500,Dorsal
4,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0004-0089,0,558.500,89.500,Dorsal
5,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0005-0093,0,592.500,93.500,Dorsal
6,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0006-0095,0,498.500,95.500,Dorsal
7,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0007-0099,0,418.500,99.500,Dorsal
8,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0008-0101,0,457.500,101.500,Dorsal
9,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0009-0103,0,472.500,103.500,Dorsal
10,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0010-0106,0,612.500,106.500,Dorsal
11,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0011-0109,0,482.500,109.500,Dorsal
12,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0012-0109,0,587.500,109.500,Dorsal
13,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0013-0113,0,433.500,113.500,Dorsal
14,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0014-0117,0,383.500,117.500,Dorsal
15,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0015-0117,0,601.500,117.500,Dorsal
16,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0016-0121,0,507.500,121.500,Dorsal
17,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0017-0123,0,627.500,123.500,Dorsal
18,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0018-0124,0,419.500,124.500,Dorsal
19,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0019-0125,0,407.500,125.500,Dorsal
20,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0020-0125,0,546.500,125.500,Dorsal
21,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0021-0125,0,615.500,125.500,Dorsal
22,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0022-0126,0,482.500,126.500,Dorsal
23,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0023-0126,0,518.500,126.500,Dorsal
24,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0024-0131,0,629.500,131.500,Dorsal
25,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0025-0132,0,387.500,132.500,Dorsal
26,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0026-0133,0,359.500,133.500,Dorsal
27,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0027-0137,0,459.500,137.500,Dorsal
28,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0028-0139,0,412.500,139.500,Dorsal
29,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0029-0140,0,639.500,140.500,Dorsal
30,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0030-0142,0,440.500,142.500,Dorsal
31,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0031-0144,0,490.500,144.500,Dorsal
32,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0032-0144,0,513.500,144.500,Dorsal
33,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0033-0145,0,547.500,145.500,Dorsal
34,C1-vms40_6a_F1_Lm3_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0034-0145,0,595.500,145.500,Dorsal
