 ,Label,Area,Mean,Min,Max,X,Y,IntDen,RawIntDen
1,Result of Result of C1-vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.152,40.000,40,40,195.952,111.332,6.083,40
2,Result of Result of C1-vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,1.217,57.875,46,75,210.185,114.013,70.406,463
3,Result of Result of C1-vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.304,43.500,40,47,217.789,115.036,13.230,87
4,Result of Result of C1-vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.456,45.000,43,48,195.562,117.701,20.529,135
5,Result of Result of C1-vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,1.369,49.333,40,71,189.192,120.691,67.516,444
6,Result of Result of C1-vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.152,52.000,52,52,197.122,120.691,7.907,52
7,Result of Result of C1-vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.152,60.000,60,60,211.160,123.420,9.124,60
8,Result of Result of C1-vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.152,42.000,42,42,212.720,123.810,6.387,42
9,Result of Result of C1-vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.608,52.750,40,67,208.138,126.442,32.085,211
10,Result of Result of C1-vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.152,47.000,47,47,193.612,129.660,7.147,47
11,Result of Result of C1-vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,1.825,54.250,40,90,212.492,133.722,98.994,651
12,Result of Result of C1-vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.760,45.200,40,50,195.484,134.495,34.366,226
