 ,Label,Area,Mean,Min,Max,X,Y,IntDen,RawIntDen
1,Result of Result of C1-vms20_3a_F1_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.456,42.333,41,44,160.726,86.635,19.312,127
2,Result of Result of C1-vms20_3a_F1_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.608,45.500,43,47,202.776,91.639,27.676,182
3,Result of Result of C1-vms20_3a_F1_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.152,42.000,42,42,209.210,99.243,6.387,42
4,Result of Result of C1-vms20_3a_F1_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.760,47.800,41,57,179.106,102.909,36.343,239
5,Result of Result of C1-vms20_3a_F1_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.152,45.000,45,45,194.002,108.212,6.843,45
6,Result of Result of C1-vms20_3a_F1_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.304,43.000,41,45,196.927,108.992,13.077,86
7,Result of Result of C1-vms20_3a_F1_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,1.217,47.375,41,53,196.098,110.406,57.632,379
8,Result of Result of C1-vms20_3a_F1_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.304,40.500,40,41,195.367,111.332,12.317,81
9,Result of Result of C1-vms20_3a_F1_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.912,48.500,41,57,206.155,112.957,44.251,291
10,Result of Result of C1-vms20_3a_F1_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.608,55.500,42,72,186.788,113.866,33.758,222
11,Result of Result of C1-vms20_3a_F1_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.608,47.750,41,52,186.398,115.426,29.044,191
12,Result of Result of C1-vms20_3a_F1_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.304,41.000,40,42,190.492,115.426,12.469,82
